what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297016937139
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297016938715
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.SkipAllBreakpoints",1297016943186
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1297016944960
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.debug",1297016948744
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297016950224
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297016967566
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297016967996
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1297016969043
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297016969134
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297016985520
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297017015713
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297017020399
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297017026151
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1297017026232
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1297017026342
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1297017026414
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1297017026456
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297017028489
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297017046927
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297017258927
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297017392509
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.debug",1297017400519
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297017401774
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297017402932
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.SkipAllBreakpoints",1297017408579
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297017410678
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1297017415160
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297017416606
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297017438455
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297017438811
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297017440546
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1297017451914
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1297017453618
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1297017453645
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297017454062
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297017455510
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297017460337
