what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1296775543273
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296775544471
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296775556995
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296775560409
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296775638322
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296775640235
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296776587917
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296776588149
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1296776591821
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296776597685
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1296776597738
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296776633218
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1296776633246
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296776635904
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1296776713494
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1296776733605
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296776756033
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1296776757869
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296776757891
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296776767961
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1296776781702
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1296776783907
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1296776791521
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1296776799135
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1296776846561
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296776915054
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296776936856
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1296776941593
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1296776944632
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296776946959
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296777287747
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1296777294387
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1296777294486
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296777296866
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296777305892
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1296777307647
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296777319876
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296777333953
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1296777334093
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296777337525
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296777350604
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1296777352761
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1296777358312
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1296777358374
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1296777359703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296777374134
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296777388357
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1296777388483
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1296777391117
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1296777394583
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296777396623
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296777479663
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296777480214
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1296777482945
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1296777482986
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296777505731
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1296777532051
